,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
20,prerank,neuron differentiation (GO:0030182),0.6863630886860911,1.7349771871569284,0.00576036866359447,0.23646319976090083,0.831,5/8,14.70%,TENM3;ALK;TENM4;PTPRD;TENM2
21,prerank,neuron development (GO:0048666),0.5976877602873739,1.729701432758796,0.004296455424274973,0.22845153146977337,0.845,7/13,14.70%,TENM3;CNTNAP2;ALK;TENM4;MAP2;SH3GL2;TENM2
22,prerank,negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059),-0.8515546639919759,-1.7271333316998831,0.006557377049180328,0.41238902149693596,0.95,3/3,15.20%,WAC;CSNK2A1;FHIT
23,prerank,neural crest cell development (GO:0014032),0.744740368347951,1.7261820867451425,0.0012254901960784314,0.21901204110695985,0.857,5/6,20.30%,NRG1;SEMA3A;CDH2;SEMA3E;SEMA6A
24,prerank,synapse assembly (GO:0007416),0.6540142082392066,1.7213256021106964,0.004667444574095682,0.2158574085810551,0.872,6/9,18.10%,SHANK2;GRID2;LRRTM3;SDK1;ADGRL3;CDH2
25,prerank,modulation of chemical synaptic transmission (GO:0050804),0.5741602777676184,1.7174034088639345,0.004296455424274973,0.21109669414606513,0.885,7/14,20.10%,GRID2;DLGAP2;CACNA1A;GRIK3;GRID1;CDH2;LRP8
26,prerank,neuropeptide signaling pathway (GO:0007218),0.8232931726907631,1.7101489002175314,0.00796812749003984,0.21610351466463634,0.905,4/4,18.00%,SORCS3;HCRTR1;HCRTR2;SORCS2
27,prerank,positive regulation of autophagy (GO:0010508),-0.6462311557788946,-1.710105078325673,0.021645021645021644,0.4323300426622987,0.964,5/5,35.80%,DHRSX;WAC;OPTN;SESN3;ULK1
28,prerank,regulation of telomere maintenance via telomerase (GO:0032210),-0.7399598393574297,-1.700661124553917,0.026515151515151516,0.43149740899822886,0.974,4/4,26.40%,TNKS2;DCP2;NEK7;SMG6
29,prerank,cellular response to interleukin-1 (GO:0071347),-0.715863453815261,-1.6932280459045583,0.016194331983805668,0.42762377515733235,0.982,4/4,28.80%,BTRC;RBMX;PELI2;PLCB1
30,prerank,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.7399598393574297,-1.6841399711337086,0.03237410071942446,0.43188708155301353,0.986,4/4,26.40%,UPF3A;PPP2R2A;UPF2;SMG6
31,prerank,regulation of potassium ion transmembrane transport (GO:1901379),0.6855846949335292,1.6833148576962151,0.00954653937947494,0.281018189199244,0.96,6/7,26.90%,DPP6;KCNIP1;KCNMA1;NOS1AP;STK39;KCNMB1
32,prerank,positive regulation of neuron projection development (GO:0010976),0.6247455841950202,1.6627810760765867,0.006795016987542469,0.335318880841755,0.982,7/10,20.10%,LRRC7;TENM3;ALK;CAMK1D;RIT2;MAGI2;LRP8
33,prerank,negative regulation of synaptic transmission (GO:0050805),0.703676346423249,1.6624873314766342,0.010830324909747292,0.3174656611796104,0.983,3/6,8.80%,SHANK2;SLC24A2;GRIK3
34,prerank,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156),0.6227649123052148,1.6405167780638115,0.017064846416382253,0.3847521242176786,0.997,6/9,25.20%,CDH4;TENM3;SDK1;CADM1;CDH2;ROBO2
35,prerank,protein localization to membrane (GO:0072657),0.5473475424490755,1.6386540111546268,0.011615628299894404,0.3751562831630971,0.997,9/16,24.80%,CACNB2;LRRC7;DPP6;SPTBN4;WNK3;MAGI2;ANK1;DLG2;LIN7A
36,prerank,cell junction assembly (GO:0034329),0.5985386489756289,1.6324984384871624,0.013318534961154272,0.3837177384979651,0.997,7/11,18.10%,SHANK2;CDH20;CDH8;SDK1;CDHR3;ADGRL3;CDH2
37,prerank,positive regulation of potassium ion transmembrane transport (GO:1901381),0.734673366834171,1.6267868183678782,0.01139240506329114,0.3913025710904139,0.997,5/5,26.90%,WNK2;KCNMA1;WNK3;NOS1AP;KCNMB1
38,prerank,negative regulation of GTPase activity (GO:0034260),-0.939879759519038,-1.6228987425545998,0.00819672131147541,0.6985071560473507,1.0,2/2,6.30%,ARFGEF1;BCAS3
39,prerank,membrane depolarization (GO:0051899),0.8665997993981946,1.6196462328575487,0.004219409282700422,0.40467719426432364,0.997,3/3,13.60%,CACNA1A;CACNG4;SCN3A
40,prerank,regulation of voltage-gated calcium channel activity (GO:1901385),0.8635907723169508,1.6190803401684024,0.005649717514124294,0.37526971569434775,0.999,3/3,13.90%,CACNB2;PDE4B;NOS1AP
41,prerank,regulation of high voltage-gated calcium channel activity (GO:1901841),0.8635907723169508,1.6190803401684024,0.005649717514124294,0.37526971569434775,0.999,3/3,13.90%,CACNB2;PDE4B;NOS1AP
42,prerank,positive regulation of long-term synaptic depression (GO:1900454),0.9879759519038077,1.6164814390611792,0.0,0.35833045769425564,0.999,2/2,1.40%,ADCY8;GRID2
43,prerank,regulation of long-term synaptic depression (GO:1900452),0.9879759519038077,1.6164814390611792,0.0,0.35833045769425564,0.999,2/2,1.40%,ADCY8;GRID2
44,prerank,cellular response to low-density lipoprotein particle stimulus (GO:0071404),-0.9338677354709418,-1.6023414993892742,0.01876675603217158,0.7072037305935451,1.0,2/2,6.90%,CES1;SREBF2
45,prerank,regulation of cholesterol storage (GO:0010885),-0.9338677354709418,-1.6023414993892742,0.01876675603217158,0.7072037305935451,1.0,2/2,6.90%,CES1;SREBF2
46,prerank,regulation of cholesterol metabolic process (GO:0090181),-0.9338677354709418,-1.6023414993892742,0.01876675603217158,0.7072037305935451,1.0,2/2,6.90%,CES1;SREBF2
47,prerank,regulation of cation transmembrane transport (GO:1904062),0.779731562457328,1.6017180688412909,0.011795543905635648,0.41162920474983383,0.999,3/4,13.70%,DPP6;KCNIP1;WNK3
48,prerank,positive regulation of purine nucleotide metabolic process (GO:1900544),-0.7733199598796389,-1.6009361206718211,0.0391566265060241,0.6231824213823071,1.0,3/3,23.00%,INSR;ARNT;ZBTB20
49,prerank,positive regulation of glycolytic process (GO:0045821),-0.7733199598796389,-1.6009361206718211,0.0391566265060241,0.6231824213823071,1.0,3/3,23.00%,INSR;ARNT;ZBTB20
50,prerank,positive regulation of carbohydrate metabolic process (GO:0045913),-0.7733199598796389,-1.6009361206718211,0.0391566265060241,0.6231824213823071,1.0,3/3,23.00%,INSR;ARNT;ZBTB20
51,prerank,heparan sulfate proteoglycan metabolic process (GO:0030201),0.8644150532299851,1.6008871775204796,0.006887052341597796,0.40143682544979503,0.999,2/3,3.70%,HS3ST5;HS3ST4
52,prerank,cellular response to laminar fluid shear stress (GO:0071499),-0.9338677354709418,-1.5987565690023644,0.013812154696132596,0.5640993158033315,1.0,2/2,6.90%,MAP2K5;SREBF2
53,prerank,cellular response to fluid shear stress (GO:0071498),-0.9338677354709418,-1.5987565690023644,0.013812154696132596,0.5640993158033315,1.0,2/2,6.90%,MAP2K5;SREBF2
54,prerank,response to laminar fluid shear stress (GO:0034616),-0.9338677354709418,-1.5987565690023644,0.013812154696132596,0.5640993158033315,1.0,2/2,6.90%,MAP2K5;SREBF2
55,prerank,anterograde trans-synaptic signaling (GO:0098916),0.5062118288687668,1.5981290874248917,0.015544041450777202,0.3998060447617888,1.0,13/19,36.30%,CACNB2;CACNA1A;CHRM3;ASIC2;HCRTR1;HCRTR2;RIT2;DLG2;HTR7;KCNMB1;PRKAR2B;NOVA1;PRKAR1B
56,prerank,regulation of cell cycle phase transition (GO:1901987),-0.940881763527054,-1.596486256729953,0.005128205128205128,0.552546061140105,1.0,2/2,6.20%,ANAPC16;BTRC
57,prerank,ion homeostasis (GO:0050801),0.786765338407589,1.594836280965756,0.02027027027027027,0.40089814952916447,1.0,3/4,13.70%,WNK2;UNC80;WNK3
58,prerank,mitotic G1/S transition checkpoint signaling (GO:0044819),-0.9348697394789578,-1.5942023455188385,0.007444168734491315,0.5435066200235568,1.0,2/2,6.80%,CCND1;WAC
59,prerank,regulation of sodium ion transport (GO:0002028),0.7737826361373304,1.5880044888170297,0.014725568942436412,0.4193458889671233,1.0,3/4,13.70%,WNK2;SPTBN4;WNK3
60,prerank,potassium ion transport (GO:0006813),0.6665722422195729,1.5868196157722103,0.019583843329253364,0.41163581503720276,1.0,5/6,26.90%,KCNQ5;KCNMA1;SLC24A2;SLC9C1;KCNMB1
61,prerank,protein modification by small protein removal (GO:0070646),-0.3489650344637293,-1.5849371733586264,0.036585365853658534,0.5467538913134291,1.0,12/13,47.40%,ASXL1;USP24;WDR20;USP22;MDM2;MBD5;PTEN;USP31;KAT2B;KAT2A;DDB2;USP33
62,prerank,protein deubiquitination (GO:0016579),-0.3489650344637293,-1.5849371733586264,0.036585365853658534,0.5467538913134291,1.0,12/13,47.40%,ASXL1;USP24;WDR20;USP22;MDM2;MBD5;PTEN;USP31;KAT2B;KAT2A;DDB2;USP33
63,prerank,central nervous system neuron differentiation (GO:0021953),0.7626611567996266,1.583521025165093,0.01335113484646195,0.41621013389649336,1.0,3/4,11.20%,GRID2;MDGA2;MAP2
64,prerank,nuclear-transcribed mRNA catabolic process (GO:0000956),-0.5156092648539778,-1.5816576951273253,0.02631578947368421,0.5438990859299886,1.0,7/7,48.90%,UPF3A;PPP2R2A;UPF2;DCP2;SMG6;CNOT6;SAMD4A
65,prerank,regulation of actin filament-based process (GO:0032970),-0.6636546184738955,-1.5809922636016058,0.036885245901639344,0.5297436018733148,1.0,4/4,34.00%,RICTOR;EFNA5;CDK10;RHOBTB1
66,prerank,regulation of inflammatory response to antigenic stimulus (GO:0002861),0.6414904330312186,1.5793485174586523,0.023837902264600714,0.40220204167968127,1.0,7/7,36.30%,ADCY8;CALCR;ADCY9;HTR7;DPEP1;PRKAR2B;PRKAR1B
67,prerank,negative regulation of inflammatory response to antigenic stimulus (GO:0002862),0.6414904330312186,1.5793485174586523,0.023837902264600714,0.40220204167968127,1.0,7/7,36.30%,ADCY8;CALCR;ADCY9;HTR7;DPEP1;PRKAR2B;PRKAR1B
68,prerank,negative regulation of immune response (GO:0050777),0.6414904330312186,1.5793485174586523,0.023837902264600714,0.40220204167968127,1.0,7/7,36.30%,ADCY8;CALCR;ADCY9;HTR7;DPEP1;PRKAR2B;PRKAR1B
69,prerank,modification-dependent protein catabolic process (GO:0019941),-0.43434343434343436,-1.5786422135819824,0.061224489795918366,0.5242342289217653,1.0,10/10,57.10%,ANKIB1;ANAPC16;BTRC;MDM2;FBXO22;MIB1;FBXW4;HACE1;USP33;ZNRF3
70,prerank,peptidyl-lysine dimethylation (GO:0018027),-0.9108216432865731,-1.5778230905264716,0.016129032258064516,0.5120602995403779,1.0,2/2,9.20%,ASH1L;KMT2A
71,prerank,positive regulation of cellular catabolic process (GO:0031331),-0.4475172212506524,-1.5753674062173164,0.04411764705882353,0.5066435963409266,1.0,8/9,35.80%,INSR;DHRSX;ZC3HAV1;FAF1;ARNT;ZBTB20;OPTN;ULK1
72,prerank,Fc receptor signaling pathway (GO:0038093),-0.6787148594377509,-1.5731819537560559,0.054901960784313725,0.48721941414458503,1.0,4/4,32.50%,MAP2K4;BTRC;PPP3CB;PPP3CA
73,prerank,Fc-epsilon receptor signaling pathway (GO:0038095),-0.6787148594377509,-1.5731819537560559,0.054901960784313725,0.48721941414458503,1.0,4/4,32.50%,MAP2K4;BTRC;PPP3CB;PPP3CA
74,prerank,histone H4-K16 acetylation (GO:0043984),-0.9108216432865731,-1.5684118359043027,0.012437810945273632,0.4940182055659032,1.0,2/2,9.20%,KANSL1;KMT2A
75,prerank,peptide biosynthetic process (GO:0043043),-0.906813627254509,-1.5654346328230768,0.016713091922005572,0.49191996873244725,1.0,2/2,9.60%,AGO2;MRPS21
76,prerank,negative regulation of inflammatory response (GO:0050728),0.5919293293542136,1.5633713786748222,0.03908045977011494,0.4663133288739924,1.0,8/9,36.30%,ADCY8;CALCR;RORA;ADCY9;HTR7;DPEP1;PRKAR2B;PRKAR1B
77,prerank,negative chemotaxis (GO:0050919),0.660887438836879,1.5632271131323892,0.029797377830750895,0.4550501485416749,1.0,4/6,20.30%,SLIT2;SEMA3A;SEMA3E;SEMA6A
78,prerank,negative regulation of chemotaxis (GO:0050922),0.6336519091881391,1.5626179988386568,0.030267753201396973,0.4463351965228591,1.0,5/7,25.20%,SLIT2;SEMA3A;SEMA3E;SEMA6A;ROBO2
79,prerank,mRNA splice site selection (GO:0006376),-0.6676706827309237,-1.5612865296707845,0.07083333333333333,0.4952305201807889,1.0,4/4,33.60%,PSIP1;LUC7L3;CELF2;SRSF1
80,prerank,regulation of potassium ion transport (GO:0043266),0.8314827709349789,1.5611428219763812,0.011363636363636364,0.44193995196065766,1.0,2/3,5.50%,DPP6;KCNIP1
81,prerank,protein monoubiquitination (GO:0006513),-0.9348697394789578,-1.558161787180884,0.010610079575596816,0.49423997043447987,1.0,2/2,6.80%,UBE2D3;WAC
82,prerank,presynapse assembly (GO:0099054),0.7551802317969185,1.5578553499019767,0.014492753623188406,0.448120824006557,1.0,3/4,14.00%,LRRTM3;PTPRD;PCLO
83,prerank,synapse organization (GO:0050808),0.5350128053703543,1.5456594785404305,0.028446389496717725,0.49654633983946134,1.0,7/13,19.10%,SHANK2;CACNB2;PTPRD;SDK1;ADGRL3;CDH2;SEMA3E
84,prerank,peptidyl-lysine trimethylation (GO:0018023),-0.8947895791583166,-1.5402804459025956,0.03439153439153439,0.5547493948449368,1.0,2/2,10.80%,KMT2A;SETD5
85,prerank,response to amino acid starvation (GO:1990928),-0.646586345381526,-1.5402339283534394,0.036585365853658534,0.5296712762854948,1.0,4/4,35.70%,WDR59;SESN3;SLC38A9;MIOS
86,prerank,cellular response to amino acid starvation (GO:0034198),-0.646586345381526,-1.5402339283534394,0.036585365853658534,0.5296712762854948,1.0,4/4,35.70%,WDR59;SESN3;SLC38A9;MIOS
87,prerank,axon development (GO:0061564),0.6663345678286324,1.5344361637722388,0.03178484107579462,0.5420369539638294,1.0,5/6,28.30%,DCC;SPTBN4;MAPK8IP3;ADGRB1;PARD3
88,prerank,regulation of phosphatidylinositol 3-kinase signaling (GO:0014066),-0.4248234106962664,-1.5326399492731484,0.04132231404958678,0.5484241914494937,1.0,9/9,58.00%,INSR;PIP4K2A;FGFR1;PTEN;UNC5B;ROR2;PTK2;EGFR;IGF1R
89,prerank,mitochondrial calcium ion transmembrane transport (GO:0006851),-0.8907815631262525,-1.5279763092495509,0.03430079155672823,0.5545812269791037,1.0,2/2,11.20%,YME1L1;MICU1
90,prerank,negative regulation of cytokine production (GO:0001818),-0.5879396984924624,-1.5272638039916848,0.06372549019607843,0.5453094313467568,1.0,5/5,41.60%,GAS6;MAP2K5;LGR4;CD200;BPI
91,prerank,positive regulation of cell projection organization (GO:0031346),0.5158464406853452,1.5166887240554825,0.030687830687830688,0.628009029426491,1.0,9/15,25.20%,LRRC7;TENM3;TIAM1;SLIT2;PTPRD;CAMK1D;RIT2;MAGI2;ROBO2
92,prerank,axon extension (GO:0048675),0.682883779439205,1.5125306114379884,0.025477707006369428,0.6391676543513007,1.0,3/5,15.30%,AUTS2;SLIT2;SEMA3A
93,prerank,adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189),0.622025601554653,1.508794423545415,0.033214709371293,0.648013502995544,1.0,5/7,26.40%,ADCY8;CALCR;ADGRL3;ADGRB1;ADCY9
94,prerank,negative regulation of axon extension (GO:0030517),0.6506376752446352,1.5075635471906077,0.04590570719602978,0.6412028325004808,1.0,4/6,20.30%,MAP2;SEMA3A;SEMA3E;SEMA6A
95,prerank,regulation of collagen biosynthetic process (GO:0032965),-0.7442326980942828,-1.5071926606902109,0.05128205128205128,0.6175480135118558,1.0,3/3,25.90%,SUCO;EMILIN1;CREB3L1
96,prerank,positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060),-0.473313192346425,-1.5058174457625761,0.07878787878787878,0.6104622613813996,1.0,7/7,53.10%,ANKIB1;PRICKLE1;MDM2;CSNK1E;FBXO22;PTEN;PTK2
97,prerank,mitotic sister chromatid segregation (GO:0000070),-0.8927855711422845,-1.5037909270045378,0.041237113402061855,0.6063512777812077,1.0,2/2,11.00%,CSNK2A1;POGZ
98,prerank,histone H3-K36 methylation (GO:0010452),-0.8947895791583166,-1.503293355838303,0.03439153439153439,0.5960784565269139,1.0,2/2,10.80%,ASH1L;SETD5
99,prerank,long-term synaptic potentiation (GO:0060291),0.9158316633266533,1.5023592994986068,0.0093603744149766,0.6454311028160087,1.0,2/2,8.60%,SHANK2;SLC24A2
100,prerank,long-term synaptic depression (GO:0060292),0.9158316633266533,1.5023592994986068,0.0093603744149766,0.6454311028160087,1.0,2/2,8.60%,SHANK2;SLC24A2
101,prerank,regulation of telomerase activity (GO:0051972),-0.7301905717151455,-1.5017222612332553,0.05993690851735016,0.5915862183216042,1.0,3/3,27.30%,NEK7;SMG6;NVL
102,prerank,axon guidance (GO:0007411),0.4512860141645484,1.5004902342971604,0.030364372469635626,0.6445807865561058,1.0,13/27,25.20%,DCC;SHC3;LAMA2;SLIT2;NRXN3;SPTBN4;SEMA3A;SEMA3E;KIF5C;SEMA6A;ENAH;LAMA3;ROBO2
103,prerank,organelle fission (GO:0048285),-0.8687374749498997,-1.5001048621063309,0.04040404040404041,0.5868517690472885,1.0,2/2,13.40%,TMCC1;MFF
104,prerank,"regulation of synaptic transmission, glutamatergic (GO:0051966)",0.7270301091918012,1.4941724338647353,0.03590425531914894,0.6695875335835216,1.0,3/4,18.10%,GRIK3;CACNG4;CDH2
105,prerank,negative regulation of protein polymerization (GO:0032272),0.7222178452757053,1.4928347931097001,0.027704485488126648,0.6657781660050707,1.0,3/4,21.70%,SLIT2;MAP2;KANK1
106,prerank,axonogenesis (GO:0007409),0.43755265407926974,1.4902739261992821,0.030181086519114688,0.6675714524341846,1.0,16/32,28.30%,DCC;SHC3;AUTS2;LAMA2;SLIT2;NRXN3;SPTBN4;SEMA3A;SEMA3E;KIF5C;SEMA6A;ADGRB1;ENAH;LAMA3;ROBO2;PARD3
107,prerank,neuron projection extension (GO:1990138),0.6802717444256495,1.4868384460894835,0.03367875647668394,0.6752487870797196,1.0,3/5,15.30%,AUTS2;SH3GL2;SEMA3A
108,prerank,protein poly-ADP-ribosylation (GO:0070212),-0.8837675350701402,-1.4854958398920624,0.035422343324250684,0.624738784176437,1.0,2/2,11.90%,TNKS2;ZC3HAV1
109,prerank,protein ADP-ribosylation (GO:0006471),-0.8837675350701402,-1.4854958398920624,0.035422343324250684,0.624738784176437,1.0,2/2,11.90%,TNKS2;ZC3HAV1
110,prerank,regulation of telomere capping (GO:1904353),-0.7392176529588766,-1.4811958093712028,0.08108108108108109,0.6312478902759058,1.0,3/3,26.40%,TNKS2;NEK7;SMG6
111,prerank,regulation of protein metabolic process (GO:0051246),-0.6375502008032128,-1.4800083533599806,0.07228915662650602,0.6250438930220972,1.0,4/4,36.60%,MAP2K5;FAF1;MDM2;LTBP4
112,prerank,positive regulation of cell junction assembly (GO:1901890),0.6111925024345646,1.4793649868402305,0.049160671462829736,0.706912158009509,1.0,3/7,10.10%,GRID2;CNTNAP2;PTPRD
113,prerank,cellular response to insulin stimulus (GO:0032869),-0.41977800201816345,-1.4779443762304758,0.07142857142857142,0.6222309270781202,1.0,9/9,58.50%,INSR;FOXC2;HDAC5;KAT2B;LPIN1;GOT1;ATP6V0A4;IGF1R;IRS1
114,prerank,establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197),0.6032927947132269,1.4766003366123324,0.06422018348623854,0.7105683178935389,1.0,5/7,28.30%,LRRC7;ANK1;DLG2;LIN7A;PARD3
115,prerank,regulation of hydrolase activity (GO:0051336),-0.4526209677419355,-1.4763604854222678,0.07246376811594203,0.617622927020897,1.0,8/8,55.20%,RAB3GAP2;ARHGAP12;ITGB1BP1;EFNA5;RABGAP1;NF1;PTK2;WRN
116,prerank,sequestering of extracellular ligand from receptor (GO:0035581),0.8987975951903808,1.4729871197485274,0.015822784810126583,0.7197549857590521,1.0,2/2,10.30%,FBN2;GREM2
117,prerank,positive regulation of histone methylation (GO:0031062),0.7846388057191895,1.467456088717038,0.03818953323903819,0.7413932495599298,1.0,2/3,11.50%,AUTS2;TET1
118,prerank,glutamate receptor signaling pathway (GO:0007215),0.7936673713137388,1.4663779965989567,0.03288490284005979,0.7359299030689045,1.0,2/3,8.80%,GRID2;GRIK3
119,prerank,regulation of cytoskeleton organization (GO:0051493),-0.473313192346425,-1.4654624476232418,0.08904109589041095,0.6524071100007136,1.0,7/7,53.10%,RICTOR;CAPN2;EFNA5;KATNBL1;CDK10;RHOBTB1;PTK2
120,prerank,regulation of secretion (GO:0051046),0.8896029300797305,1.459173295942254,0.021374045801526718,0.7693529247559162,1.0,1/2,0.50%,NRG1
121,prerank,negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435),-0.8507014028056111,-1.4578858356438136,0.05289672544080604,0.6603790562666634,1.0,2/2,15.20%,WAC;FHIT
122,prerank,negative regulation of proteasomal protein catabolic process (GO:1901799),-0.8507014028056111,-1.4578858356438136,0.05289672544080604,0.6603790562666634,1.0,2/2,15.20%,WAC;FHIT
123,prerank,regulation of neuron projection development (GO:0010975),0.4596552217613907,1.457718963939528,0.052904564315352696,0.765880688667315,1.0,12/19,34.40%,DCC;LRRC7;TENM3;CAMK1D;SEMA3A;RIT2;CDH2;MAGI2;KANK1;MBOAT1;TRPV4;CRMP1
124,prerank,interleukin-1-mediated signaling pathway (GO:0070498),-0.7151454363089268,-1.4571043897602327,0.052083333333333336,0.6530912018191134,1.0,3/3,28.80%,BTRC;PELI2;PLCB1
125,prerank,regulation of sodium ion transmembrane transporter activity (GO:2000649),0.6262570978235557,1.4520502502291142,0.05093167701863354,0.7887231205285551,1.0,4/6,22.10%,WNK2;WNK3;HECW2;STK39
126,prerank,positive regulation of cellular component organization (GO:0051130),0.600921015701106,1.4497355483350072,0.050119331742243436,0.7904420509996394,1.0,2/7,2.60%,NRG1;FRMPD4
127,prerank,positive regulation of CREB transcription factor activity (GO:0032793),0.7030640032940552,1.4382218615580116,0.04945054945054945,0.8530663308774185,1.0,3/4,20.10%,ADCY8;CAMK1D;LRP8
128,prerank,negative regulation of axon extension involved in axon guidance (GO:0048843),0.697338197305592,1.438110782949787,0.06040268456375839,0.8162779460380912,1.0,3/4,20.30%,SEMA3A;SEMA3E;SEMA6A
129,prerank,regulation of axon extension involved in axon guidance (GO:0048841),0.697338197305592,1.438110782949787,0.06040268456375839,0.8162779460380912,1.0,3/4,20.30%,SEMA3A;SEMA3E;SEMA6A
130,prerank,neural crest cell migration (GO:0001755),0.697338197305592,1.438110782949787,0.06040268456375839,0.8162779460380912,1.0,3/4,20.30%,SEMA3A;SEMA3E;SEMA6A
131,prerank,negative regulation of NF-kappaB transcription factor activity (GO:0032088),-0.6980942828485457,-1.4375572359340787,0.08305647840531562,0.7235245160964432,1.0,3/3,30.50%,MAP2K5;FAF1;CD200
132,prerank,neuronal ion channel clustering (GO:0045161),0.8687374749498997,1.4342339947990357,0.028846153846153848,0.82943586674782,1.0,2/2,13.30%,CNTNAP2;SPTBN4
